State,Year,Category,SubCat,Value
Delaware,2020,HP,Housing Prices,253558.8996
Delaware,2021,TotalIncome,Income,36384.79194
Delaware,2021,Expenditure,Income Tax,8331.787733
Delaware,2021,Expenditure,Other,3157.094408
Delaware,2021,HP,Housing Prices,295018.9558
District of Columbia,2012,TotalIncome,Income,41890.1734
District of Columbia,2012,Expenditure,Income Tax,9051.382364
District of Columbia,2012,Expenditure,Other,1409.177844
District of Columbia,2012,HP,Housing Prices,493875.244
District of Columbia,2013,TotalIncome,Income,44772.79752
District of Columbia,2013,Expenditure,Income Tax,9519.895035
District of Columbia,2013,Expenditure,Other,1520.969858
District of Columbia,2013,HP,Housing Prices,547485.444
District of Columbia,2014,TotalIncome,Income,46045.46592
District of Columbia,2014,Expenditure,Income Tax,9896.174721
District of Columbia,2014,Expenditure,Other,1640.089219
District of Columbia,2014,HP,Housing Prices,736880.2115
District of Columbia,2015,TotalIncome,Income,47872.31363
District of Columbia,2015,Expenditure,Income Tax,9645.993592
District of Columbia,2015,Expenditure,Other,1730.391954
District of Columbia,2015,HP,Housing Prices,629350.4444
District of Columbia,2016,TotalIncome,Income,48412.11399
District of Columbia,2016,Expenditure,Income Tax,10341.70679
District of Columbia,2016,Expenditure,Other,1631.248823
District of Columbia,2016,HP,Housing Prices,630784.9725
District of Columbia,2017,TotalIncome,Income,51059.01684
District of Columbia,2017,Expenditure,Income Tax,11042.04922
District of Columbia,2017,Expenditure,Other,1809.264896
District of Columbia,2017,HP,Housing Prices,625958.8934
District of Columbia,2018,TotalIncome,Income,58392.27431
District of Columbia,2018,Expenditure,Income Tax,13214.93995
District of Columbia,2018,Expenditure,Other,1841.45377
District of Columbia,2018,HP,Housing Prices,683556.6439
District of Columbia,2019,TotalIncome,Income,62619.62733
District of Columbia,2019,Expenditure,Income Tax,30437.04914
District of Columbia,2019,Expenditure,Other,3029.468354
District of Columbia,2019,HP,Housing Prices,737172.5673
District of Columbia,2020,TotalIncome,Income,66276.39783
District of Columbia,2020,Expenditure,Income Tax,36008.27217
District of Columbia,2020,Expenditure,Other,3420.030435
District of Columbia,2020,HP,Housing Prices,767180.8094
District of Columbia,2021,TotalIncome,Income,68255.95685
District of Columbia,2021,Expenditure,Income Tax,34701.65302
District of Columbia,2021,Expenditure,Other,3047.25089
District of Columbia,2021,HP,Housing Prices,815077.0052
Florida,2012,TotalIncome,Income,25726.42708
Florida,2012,Expenditure,Income Tax,2568.434629
Florida,2012,Expenditure,Other,1384.380395
Florida,2012,HP,Housing Prices,200619.9922
Florida,2013,TotalIncome,Income,25344.6683
Florida,2013,Expenditure,Income Tax,2390.485578
Florida,2013,Expenditure,Other,1396.83537
Florida,2013,HP,Housing Prices,212755.7108
