State,Year,Category,SubCat,Value
Delaware,2021,Expenditure,Income Tax,8336.800842
Delaware,2021,Expenditure,Other,3583.787031
Delaware,2021,HP,Housing Prices,295018.9558
District of Columbia,2012,TotalIncome,Income,58189.18065
District of Columbia,2012,Expenditure,Income Tax,19220.83478
District of Columbia,2012,Expenditure,Other,1793.197077
District of Columbia,2012,HP,Housing Prices,493875.244
District of Columbia,2013,TotalIncome,Income,61499.89722
District of Columbia,2013,Expenditure,Income Tax,19496.08134
District of Columbia,2013,Expenditure,Other,2006.143592
District of Columbia,2013,HP,Housing Prices,547485.444
District of Columbia,2014,TotalIncome,Income,63087.76061
District of Columbia,2014,Expenditure,Income Tax,20689.67098
District of Columbia,2014,Expenditure,Other,2124.481541
District of Columbia,2014,HP,Housing Prices,736880.2115
District of Columbia,2015,TotalIncome,Income,63371.03157
District of Columbia,2015,Expenditure,Income Tax,19591.89877
District of Columbia,2015,Expenditure,Other,2127.208315
District of Columbia,2015,HP,Housing Prices,629350.4444
District of Columbia,2016,TotalIncome,Income,65089.34313
District of Columbia,2016,Expenditure,Income Tax,21225.83575
District of Columbia,2016,Expenditure,Other,2070.565087
District of Columbia,2016,HP,Housing Prices,630784.9725
District of Columbia,2017,TotalIncome,Income,68166.98833
District of Columbia,2017,Expenditure,Income Tax,22506.83036
District of Columbia,2017,Expenditure,Other,2360.376003
District of Columbia,2017,HP,Housing Prices,625958.8934
District of Columbia,2018,TotalIncome,Income,76507.7139
District of Columbia,2018,Expenditure,Income Tax,25804.78947
District of Columbia,2018,Expenditure,Other,2180.727677
District of Columbia,2018,HP,Housing Prices,683556.6439
District of Columbia,2019,TotalIncome,Income,83059.91062
District of Columbia,2019,Expenditure,Income Tax,34774.10208
District of Columbia,2019,Expenditure,Other,3472.962868
District of Columbia,2019,HP,Housing Prices,737172.5673
District of Columbia,2020,TotalIncome,Income,86512.8916
District of Columbia,2020,Expenditure,Income Tax,41450.96396
District of Columbia,2020,Expenditure,Other,3986.857577
District of Columbia,2020,HP,Housing Prices,767180.8094
District of Columbia,2021,TotalIncome,Income,89157.11273
District of Columbia,2021,Expenditure,Income Tax,35362.33726
District of Columbia,2021,Expenditure,Other,3757.663193
District of Columbia,2021,HP,Housing Prices,815077.0052
Florida,2012,TotalIncome,Income,37825.70139
Florida,2012,Expenditure,Income Tax,6747.553719
Florida,2012,Expenditure,Other,1707.008689
Florida,2012,HP,Housing Prices,200619.9922
Florida,2013,TotalIncome,Income,37526.25335
Florida,2013,Expenditure,Income Tax,6389.72656
Florida,2013,Expenditure,Other,1747.539297
Florida,2013,HP,Housing Prices,212755.7108
Florida,2014,TotalIncome,Income,41046.75272
Florida,2014,Expenditure,Income Tax,9091.355634
Florida,2014,Expenditure,Other,2060.309836
Florida,2014,HP,Housing Prices,209899.6093
Florida,2015,TotalIncome,Income,40025.64302
Florida,2015,Expenditure,Income Tax,8781.251611
Florida,2015,Expenditure,Other,1831.339918
Florida,2015,HP,Housing Prices,221838.2096
Florida,2016,TotalIncome,Income,41261.51702
Florida,2016,Expenditure,Income Tax,9230.52892
Florida,2016,Expenditure,Other,2099.654624
Florida,2016,HP,Housing Prices,228892.2448
Florida,2017,TotalIncome,Income,42671.19284
Florida,2017,Expenditure,Income Tax,8423.988045
Florida,2017,Expenditure,Other,2068.615182
Florida,2017,HP,Housing Prices,240793.7095
Florida,2018,TotalIncome,Income,43800.54337
Florida,2018,Expenditure,Income Tax,9031.003133
Florida,2018,Expenditure,Other,2007.762944
Florida,2018,HP,Housing Prices,259043.9756
Florida,2019,TotalIncome,Income,45942.48183
Florida,2019,Expenditure,Income Tax,9887.389793
Florida,2019,Expenditure,Other,3051.716925
Florida,2019,HP,Housing Prices,283050.9245
Florida,2020,TotalIncome,Income,49463.13482
Florida,2020,Expenditure,Income Tax,11797.74798
Florida,2020,Expenditure,Other,2944.068125
Florida,2020,HP,Housing Prices,285506.8719
Florida,2021,TotalIncome,Income,47219.0618
Florida,2021,Expenditure,Income Tax,3912.073833
Florida,2021,Expenditure,Other,3015.180082
Florida,2021,HP,Housing Prices,302776.4032
Georgia,2012,TotalIncome,Income,39547.47812
Georgia,2012,Expenditure,Income Tax,9108.484242
Georgia,2012,Expenditure,Other,1638.198772
Georgia,2012,HP,Housing Prices,195683.6016
Georgia,2013,TotalIncome,Income,39380.09081
Georgia,2013,Expenditure,Income Tax,8184.309827
Georgia,2013,Expenditure,Other,1617.825102
Georgia,2013,HP,Housing Prices,171380.6365
Georgia,2014,TotalIncome,Income,41089.62818
Georgia,2014,Expenditure,Income Tax,10982.6297
Georgia,2014,Expenditure,Other,1761.918755
Georgia,2014,HP,Housing Prices,183738.0751
Georgia,2015,TotalIncome,Income,41474.1203
Georgia,2015,Expenditure,Income Tax,9958.474876
Georgia,2015,Expenditure,Other,1673.218783
Georgia,2015,HP,Housing Prices,183688.432
Georgia,2016,TotalIncome,Income,40408.29832
Georgia,2016,Expenditure,Income Tax,10118.96486
Georgia,2016,Expenditure,Other,1723.40423
Georgia,2016,HP,Housing Prices,185122.9288
Georgia,2017,TotalIncome,Income,44472.0015
Georgia,2017,Expenditure,Income Tax,11608.59383
Georgia,2017,Expenditure,Other,1812.195056
Georgia,2017,HP,Housing Prices,197036.5527
Georgia,2018,TotalIncome,Income,45778.18208
Georgia,2018,Expenditure,Income Tax,11612.82465
Georgia,2018,Expenditure,Other,1871.379463
Georgia,2018,HP,Housing Prices,218474.5424
Georgia,2019,TotalIncome,Income,47239.19456
Georgia,2019,Expenditure,Income Tax,14001.33746
Georgia,2019,Expenditure,Other,2817.119881
Georgia,2019,HP,Housing Prices,236850.7692
Georgia,2020,TotalIncome,Income,49781.71848
Georgia,2020,Expenditure,Income Tax,16559.724
Georgia,2020,Expenditure,Other,3082.545611
Georgia,2020,HP,Housing Prices,240783.119
Georgia,2021,TotalIncome,Income,50840.78951
Georgia,2021,Expenditure,Income Tax,9137.720396
Georgia,2021,Expenditure,Other,2670.812707
Georgia,2021,HP,Housing Prices,260211.0574
Hawaii,2012,TotalIncome,Income,40061.20434
Hawaii,2012,Expenditure,Income Tax,10507.54091
Hawaii,2012,Expenditure,Other,1173.562852
Hawaii,2012,HP,Housing Prices,471130.3221
Hawaii,2013,TotalIncome,Income,38889.33292
Hawaii,2013,Expenditure,Income Tax,9543.116892
Hawaii,2013,Expenditure,Other,1323.388075
